sample,elapsed_time,power_mw,cumulative_energy_j,test_name
1,0.05,615.00,0.030750,idletest
2,0.10,517.00,0.056600,idletest
3,0.15,393.00,0.076250,idletest
4,0.20,476.00,0.100050,idletest
5,0.25,361.00,0.118100,idletest
6,0.30,474.00,0.141800,idletest
7,0.35,482.00,0.165900,idletest
8,0.40,374.00,0.184600,idletest
9,0.45,456.00,0.207400,idletest
10,0.50,506.00,0.232700,idletest
11,0.55,612.00,0.263300,idletest
12,0.60,352.00,0.280900,idletest
13,0.65,365.00,0.299150,idletest
14,0.70,363.00,0.317300,idletest
15,0.75,377.00,0.336150,idletest
16,0.80,364.00,0.354350,idletest
17,0.85,337.00,0.371200,idletest
18,0.90,377.00,0.390050,idletest
19,0.95,342.00,0.407150,idletest
20,1.00,352.00,0.424750,idletest
21,1.05,375.00,0.443500,idletest
22,1.10,399.00,0.463450,idletest
23,1.15,331.00,0.480000,idletest
24,1.20,338.00,0.496900,idletest
25,1.25,378.00,0.515800,idletest
26,1.30,576.00,0.544600,idletest
27,1.35,385.00,0.563850,idletest
28,1.40,337.00,0.580700,idletest
29,1.45,390.00,0.600200,idletest
30,1.50,337.00,0.617050,idletest
